step,policy_action_0,policy_action_1,policy_action_2,policy_action_3,policy_action_4,policy_action_5,policy_action_6,qpos_0,qpos_1,qpos_2,qpos_3,qpos_4,qpos_5,qpos_6,qpos_7,qpos_8,qpos_9,qpos_10,qpos_11,qpos_12,qpos_13,qpos_14,ctrl_0,ctrl_1,ctrl_2,ctrl_3,ctrl_4,ctrl_5,ctrl_6,ctrl_7,ctrl_8,ctrl_9,ctrl_10,ctrl_11,ctrl_12,ctrl_13,ctrl_14
23,-0.2255533899834753,0.10255877509856215,-0.33967676084196574,-0.00922954626180579,-0.017547057738190736,0.07773201721054485,-1.0003151264812946,-0.029808034563235077,0.24834230523239026,-0.7709312978373795,-0.008906108086865972,2.0744412168802313,-0.18062235220728626,0.685423700167485,0.49427845082643646,-0.061006901924089786,-0.9713218046629621,-0.19721699992290923,1.9330598766991098,-0.06818867981469727,0.8760838659891399,-0.06992778619159323,-0.13089236617088318,0.1339065134525299,-0.1707158237695694,-0.021309446543455124,-0.007246688008308411,0.06011810898780823,-1.0024328231811523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-0.2255533899834753,0.10255877509856215,-0.33967676084196574,-0.00922954626180579,-0.017547057738190736,0.07773201721054485,-1.0003151264812946,-0.030751387656471844,0.26211084873938917,-0.7629352653795893,-0.010484931275929137,2.075782630562925,-0.18694374249521295,0.6794405001505768,0.5162958357120999,-0.0625854755060519,-0.9720310027839566,-0.20401553282278617,1.931221449264647,-0.06969311230200044,0.8773246205681052,-0.06993934720766722,-0.13488589227199554,0.17486844956874847,-0.1668344885110855,-0.024228595197200775,-0.007222968153655529,0.05726876109838486,-1.0020253658294678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-0.2255533899834753,0.10255877509856215,-0.33967676084196574,-0.00922954626180579,-0.017547057738190736,0.07773201721054485,-1.0003151264812946,-0.031652915788231026,0.2758818869973909,-0.7551233434659433,-0.012103182445495077,2.0769094209061594,-0.19300645927784837,0.6734677215740179,0.5379443595507435,-0.0641045532320183,-0.9727539405340805,-0.2104467842989372,1.9294797822174323,-0.07104885153601777,0.8784514182311942,-0.06995025082187507,-0.16016271710395813,0.21465377509593964,-0.16832450032234192,-0.021651389077305794,-0.007027850486338139,0.05571015551686287,-1.0040704011917114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-0.2255533899834753,0.10255877509856215,-0.33967676084196574,-0.00922954626180579,-0.017547057738190736,0.07773201721054485,-1.0003151264812946,-0.03254595391758849,0.28963725619053343,-0.7474970717869367,-0.013750656554452362,2.0778310299382308,-0.19880393407168565,0.6675136956434966,0.5591867982945544,-0.06556885594887177,-0.9734884342467038,-0.21651959188343217,1.9278305780456462,-0.07226849795762022,0.8794700035028864,-0.06996045401380437,-0.2098652571439743,0.2618672847747803,-0.21010765433311462,-0.01057517807930708,-0.0069824266247451305,0.06320681422948837,-0.9996404051780701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-0.2255533899834753,0.10255877509856215,-0.33967676084196574,-0.00922954626180579,-0.017547057738190736,0.07773201721054485,-1.0003151264812946,-0.03345827754410241,0.30335956167758865,-0.7400572185743785,-0.015417885680766645,2.0785576597425273,-0.20432834014859322,0.6615839572303766,0.5799899914420411,-0.06698152796588631,-0.9742329839754738,-0.2222451647095664,1.9262712585513,-0.07336661516692944,0.8803870251551481,-0.06996987850839932,-0.2642936408519745,0.305694580078125,-0.2675587832927704,-0.003041099524125457,-0.00942897330969572,0.07589425146579742,-0.9986129403114319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-0.2255533899834753,0.10255877509856215,-0.33967676084196574,-0.00922954626180579,-0.017547057738190736,0.07773201721054485,-1.0003151264812946,-0.03441839795423388,0.3170289197290033,-0.7328056637652648,-0.01709569670962974,2.07909925671854,-0.20957564325346037,0.6556904607873224,0.6003332726013597,-0.06834484323682527,-0.9749864607714279,-0.22763615470833973,1.924799458710343,-0.07435672416170883,0.8812083485089907,-0.06997848204327481,-0.3483595848083496,0.3472970426082611,-0.357305645942688,0.001452545402571559,-0.012091245502233505,0.10671533644199371,-0.9980438351631165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-0.2255533899834753,0.10255877509856215,-0.33967676084196574,-0.00922954626180579,-0.017547057738190736,0.07773201721054485,-1.0003151264812946,-0.035439288102046156,0.3306281220035624,-0.7257423505038507,-0.018775644303251997,2.0794671304185033,-0.21453657166483955,0.6498357153737269,0.6201877277439938,-0.06966066176258051,-0.975747900696037,-0.2327059581421432,1.923412206612188,-0.07524973764487641,0.8819382152251432,-0.06998630067062124,-0.4026585519313812,0.344897985458374,-0.40488022565841675,0.0018523725448176265,-0.013012739829719067,0.1358201503753662,-1.0004501342773438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-0.02753043180853143,0.08267711116695398,-0.05140580023640395,-0.032310582664525814,0.026916699831188662,0.00041051976356037967,-1.0028232662968635,-0.036346965461862765,0.34413910714871776,-0.7188656473305125,-0.020449698026212583,2.079672286771089,-0.2192040423155665,0.6440169250110909,0.6395256023443885,-0.07093041758277502,-0.9765165527782943,-0.23746857785695585,1.9221065069244279,-0.07605559719023941,0.8825803323243923,-0.06999332076779131,-0.027530431747436523,0.08267711102962494,-0.05140579864382744,-0.03231058269739151,0.02691669948399067,0.00041051977314054966,-1.0028232336044312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-0.02753043180853143,0.08267711116695398,-0.05140580023640395,-0.032310582664525814,0.026916699831188662,0.00041051976356037967,-1.0028232662968635,-0.037044212952007924,0.357546423959638,-0.7121728701355597,-0.022110313467091254,2.07972669826076,-0.22356718628093886,0.6382283254628763,0.6583213335578488,-0.07215499097910799,-0.9772919980377712,-0.2419386546966469,1.9208801152897825,-0.07678480432428232,0.8831391431147508,-0.06999951480729506,0.01655077561736107,0.10176171362400055,0.005450437311083078,-0.028560929000377655,0.009615045972168446,-0.0017985934391617775,-1.002061367034912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-0.02753043180853143,0.08267711116695398,-0.05140580023640395,-0.032310582664525814,0.026916699831188662,0.00041051976356037967,-1.0028232662968635,-0.03759764094304575,0.3708374122385536,-0.7056617369052713,-0.023750845385925385,2.0796426587956236,-0.22761257043071023,0.632469406527072,0.6765633944637384,-0.07333543633743941,-0.9780737530769847,-0.24613049553830924,1.919729568715049,-0.07744414395082617,0.8836171247254776,-0.07000495009813411,0.031075531616806984,0.09869987517595291,0.018706845119595528,-0.010212578810751438,-0.005761388223618269,-0.002157139591872692,-1.0000289678573608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
